OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Year,Community Reporting Area Vacancy Rate,Year over Year Vacancy Rate Change,PROPERTIES,UNIT_COUNT,CONCERN,Shape__Area,Shape__Length
48,53033011300,113,Census Tract 113,Highland Park,2.5,2001,0.055,0.025,16,328,,37260682.9683075,27184.1613850878
49,53033011500,115,Census Tract 115,Roxhill/Westwood,2.4,2001,0.1,0.02,12,250,,16558652.7529297,19887.3089363241
50,53033010601,106.01,Census Tract 106.01,Fauntleroy/Seaview,1.2,2001,0.04,0.011,24,375,Medium,11724162.319458,14458.8370353337
51,53033001202,12.02,Census Tract 12.02,Northgate/Maple Leaf,8.1,2001,0.073,0.021,9,422,,8841145.88363647,13324.9900925288
52,53033000102,1.02,Census Tract 1.02,Cedar Park/Meadowbrook,8.3,2001,0.066,0.025,13,320,,15446821.4830017,19552.3623304664
53,53033004701,47.01,Census Tract 47.01,Ballard,10.4,2001,0.051,0.014,48,624,,6036028.32614136,13539.0476262898
54,53033004500,45,Census Tract 45,Wallingford,11.2,2001,0,0,0,0,,7222109.8883667,11018.3020934985
55,53033002900,29,Census Tract 29,Greenwood/Phinney Ridge,9.3,2001,0.062,0.021,23,241,,10614791.1058044,13366.3196709081
56,53033004201,42.01,Census Tract 42.01,Ravenna/Bryant,7.3,2001,0.051,0.017,10,178,,13390664.2680969,18286.1439211159
57,53033007403,74.03,Census Tract 74.03,Capitol Hill,6.2,2001,0.046,0.013,49,1007,Medium,1276089.0690918,5227.49528678734
58,53033007002,70.02,Census Tract 70.02,Queen Anne,12.3,2001,0.06,0.019,76,1561,,4746869.84552002,9490.79905735624
59,53033005803,58.03,Census Tract 58.03,Interbay,12.2,2001,0.059,0.019,29,323,,8956173.42456055,17129.1988103483
60,53033005902,59.02,Census Tract 59.02,Queen Anne,12.3,2001,0.068,0.019,10,103,,11010649.894989,15184.2205727179
61,53033004902,49.02,Census Tract 49.02,Fremont,11.1,2001,0.057,0.023,64,733,,6448262.3397522,10801.7314915315
62,53033005801,58.01,Census Tract 58.01,Interbay,12.2,2001,0.078,0.036,43,1036,,19618424.2433472,25500.0139546944
63,53033007406,74.06,Census Tract 74.06,Capitol Hill,6.2,2001,0.05,0.015,41,1078,Medium,1623443.82748413,6764.47724113477
64,53033007405,74.05,Census Tract 74.05,Capitol Hill,6.2,2001,0.058,0.015,46,1203,,1418974.04168701,5012.79869002574
65,53033009701,97.01,Census Tract 97.01,Alki/Admiral,1.4,2001,0.063,0.017,35,395,,19291172.1184692,29764.000341636
66,53033009600,96,Census Tract 96,Alki/Admiral,1.4,2001,0.072,0.019,32,432,,19741501.6534882,20745.4059998832
67,53033008700,87,Census Tract 87,Central Area/Squire Park,5.3,2001,0.07,0.016,39,485,,7883013.1696167,11432.3842123557
68,53033011402,114.02,Census Tract 114.02,Roxhill/Westwood,2.4,2001,0.057,0.017,23,405,,12779277.8645477,17351.055007292
